"Top 3000 query",Count
undefined,455859
ec,247628
eb,213814
"견미리팩트",178229
ed,159281
"현대홈쇼핑",120399
"아이오페",107701
b8,107489
"해외여행",105440
ac,102307
"알집매트",101004
"캐리어",98377
a4,97245
b4,95452
"골든구스",93287
8a,93256
ahc,92024
84,89068
"노트북",85509
"크림하우스",84289
b0,83132
a0,78582
"여성가방",76408
"아디다스",74232
ea,73415
95,73261
9d,72433
bc,71646
tv,68353
"나이키",67884
8c,66775
94,65512
"여행",65477
"시원스쿨",64997
"여성속옷세트",63194
98,63155
"침대",62497
"여성신발",62099
"에어쿠션",61946
"베리떼",61642
"휴롬",61468
"청소기",61168
"에어컨",60675
"원더브라",60328
"마스크팩",58866
"롯데홈쇼핑",58585
a6,57883
"자이글",57375
1,56971
"해피콜",56381
9c,54410
"여성속옷",54026
"속옷",53321
"냉장고",53291
88,53063
"블루래빗",52072
"이불",52037
"유모차",50962
"정관장",50777
"여성티셔츠",50208
"블라우스",50154
a7,50061
80,49867
"여성의류",49662
"공기청정기",48949
"홈앤쇼핑",48367
"침구세트",47843
"이케아",47425
"쿠쿠압력밥솥",46901
"아이크림",46008
"슈퍼스타",45868
"운동화",45851
"애플비",45649
8b,45239
"세탁기",45209
"아메리칸투어리스터",44603
"여행용캐리어",44444
a8,44214
"쇼파",43544
"견미리팩트시즌5",42213
"맥스클리닉",41740
"가방",41663
90,40947
"슬립온",40916
"선글라스",40689
"cj홈쇼핑",40594
"모이몰른",40547
"여성슬립온",40469
"정수기",40419
"커튼",39328
b9,39091
"더페이스샵",38684
"매직캔",38346
"아토팜",37751
"여성",37342
"실크테라피",37191
"크림하우스매트",37111
"신발",37091
97,36900
"트레이닝복세트",36877
"여성블라우스",36861
81,36674
"퍼실",36591
"다이슨무선청소기",36380
"견과류",35358
"화장품",35235
"핸드폰",35079
"여성바지",34826
"암막커튼",34457
"다이슨",33706
"리리코스",33058
b2,32963
8d,32583
"해외여행패키지",32258
"냄비세트",31409
96,31309
"코렐",31172
"이불세트",31162
"홍삼",30955
"여성구두",30723
"남성",30695
"블루래빗전집",29751
"파운데이션",29661
"라네즈",29571
"견미리",29309
"백팩",28892
9e,28877
"그릇세트",28574
"gs홈쇼핑",28212
"기초화장품세트",28130
"티셔츠",27861
"터닝메카드",27735
"다이어트",27573
86,27404
"휴대폰",26938
"오렌지",26806
"코코넛오일",26734
"범퍼침대",26639
"블랙박스",26472
a9,26016
"여성자켓",25783
b1,25709
"냄비",25676
85,25654
"노와이어",25634
"엘렌실라달팽이크림",25483
82,25462
"팬츠",24952
"시원스쿨탭8.0",24913
"삼성노트북",24810
"청바지",24708
"도깨비방망이",24570
"씨제이홈쇼핑",24475
"후라이팬",24285
"ts샴푸",24111
"재킷",24102
"무선청소기",24037
"쿠쿠",23942
lg,23891
"삼성노트북9",23858
"삼성",23750
"썬스틱",23747
"여성백팩",23683
"세인트제임스",23656
1603wshopallinweek,23639
"소파",23312
"블렌더",23272
"폼블럭",22982
"믹서기",22837
"햄프씨드",22826
age,22776
"와이드팬츠",22660
"에이지투웨니스",22511
"마키베리",22394
a5,22354
"포트메리온",22019
b3,21970
"침구",21937
83,21731
"빨래건조대",21713
bd,21662
"쿠션",21594
"미키모토",21420
"여행용캐리어세트",21408
"스니커즈",21161
"매트",21101
"보정속옷",21082
"여행가방",21063
"노와이어브라세트",21049
"자켓",21024
"남성티셔츠",20919
"한샘",20918
"애플비전집",20916
"밥솥",20811
"에브리타임",20727
"ns홈쇼핑",20472
"기저귀",20413
"아너스물걸레청소기",20369
"루즈핏",20059
"화장지",20041
"아로니아",19905
99,19668
"원피스",19658
"앨리스앤블루",19655
"김치냉장고",19633
"양문형냉장고",19621
"차렵이불세트",19599
"여성트레이닝복",19596
20s,19434
"바지",19419
"아로니아분말",19390
"행거",19301
"유산균",19196
a1,19018
"덴비",18986
"남성바지",18922
"입생로랑쿠션",18731
"브라팬티세트",18704
"카카오",18641
"로퍼",18578
"커텐",18472
"ㅇ",18306
"트랙수트",18204
"질경이",17856
"물걸레청소기",17705
"팩트",17690
"지에스홈쇼핑",17685
"자이글핸썸",17683
"남성속옷",17595
"오쿠",17475
"식품건조기",17442
uhd,17324
"이연복",17318
"트레이닝복",17258
"여성청바지",17084
"서랍장",17041
"매직캔휴지통",17024
"썬글라스",17005
"썬크림",16901
"마데카크림",16775
"입생로랑",16748
"센스맘에어매트리스",16637
"그릇",16515
"아이챌린지",16514
"카페트",16449
"남성자켓",16440
"세트",16397
"cj오쇼핑",16372
"사과",16337
"김치",16296
"오토비스",16276
91,16232
"피지오겔",16180
"캐논",16112
"ahc아이크림4",16067
"마이크로킥보드",16020
"이연복탕수육",16019
"스마트폰",15969
"드로즈",15965
"리리코스마린콜라겐쿠션",15961
"남성팬티",15874
"락앤락",15862
"하기스",15817
"뱅뱅",15717
"한샘붙박이장",15583
"나이키운동화",15580
"해피콜후라이팬",15530
"아너스",15518
"틴트",15496
"쿠션파운데이션",15412
"선반",15324
"플랫",15304
"고데기",15299
"여성스니커즈",15289
"여성트렌치코트",15221
89,15212
"반바지",15203
b5,15101
"스팀다리미",15094
"두유",15076
"닥터자르트",14951
9a,14898
"식기건조대",14844
"일렉트로룩스",14798
"맥포머스",14794
"견과",14752
"우레탄굽",14597
"차앤박",14590
"레이캅",14564
"비비엔다",14541
"리빙박스",14461
"매트리스",14368
"악마다이어트",14361
8f,14351
"아마씨",14342
"샴푸",14287
"여성로퍼",14285
"명품가방",14228
"푸마",14196
"수려한",14178
"아리따움",14152
"하루견과",14152
"터닝메카드그리핑크스",14145
"테팔",14043
"리큅",14028
"비데",14007
"야상",13958
"꼬달리",13933
"퍼실세제",13855
"생리대",13786
"비비안",13732
"크림하우스1",13730
"아디다스트레이닝복",13511
"데님",13482
"남성정장",13475
"브라",13457
"페넥",13452
"리엔케이",13392
"여성야상",13305
"골프웨어",13283
"차렵이불",13262
"슈즈",13250
"프리마클라쎄",13217
"내셔널지오그래픽",13054
"휴지",12971
9b,12938
"시원스쿨탭",12903
af,12833
"아메리칸투어리스터세트",12758
"팩",12732
"구찌가방",12725
"보솜이",12585
bf,12547
"붙박이장",12525
"이자녹스",12517
"키높이운동화",12507
"ㅅ",12485
"괌",12456
ad,12449
"거실커튼",12442
"백",12323
"등산화",12212
b7,12180
"수페르가",12109
"선스틱",12072
"샤오미",12071
"핸드백",12053
"베라왕속옷",12005
"허라취",11887
"놀이방매트",11881
"철제",11828
"스피루리나",11806
"리파캐럿",11742
"가누다베개",11731
"셀더마",11693
"한샘씽크대",11642
"리안유모차",11636
"알레르망",11605
1604kshopallinweek,11502
"a.h.c",11444
"삼성공기청정기",11433
"쿠쿠10인용",11419
"텐트",11338
"삼성에어컨",11249
"크로스백",11205
"에어프라이어",11128
"여성팬츠",11051
"차홍고데기",11047
"토퍼",11038
"남성드로즈",10996
"거실장",10986
"브레라",10980
"코트",10965
"스마트",10913
"아디다스운동화",10870
93,10836
"화장대",10771
"글라스락",10695
"삼성냉장고",10658
"여성코트",10643
"식탁",10580
vote160412,10541
"여성화",10539
"필립스면도기",10538
"한율",10537
"테아",10530
"여에스더유산균",10507
a3,10463
"이지케이",10445
"남성구두",10441
"아디다스여성속옷",10423
"lg그램",10412
"삼성세탁기",10349
"유럽여행",10342
"구찌",10330
"여성티셔츠세트",10288
"쉬폰블라우스",10271
"4인쇼파",10222
"슈퍼싱글침대",10193
"니트",10154
"레깅스",10148
"æ",10142
"트레이닝",10090
"통돌이세탁기",10084
"목걸이",10061
"바람막이",10058
ba,10038
"실크테라피에센스",10025
"마몽드",9936
"수납장",9881
"센스맘",9856
"립스틱",9780
"지나송",9767
"베라왕",9754
"보라카이",9739
"와일드망고다이어트",9739
"맥스클렌져",9734
"라텍스매트리스",9686
"등산복",9679
"리엔케이빛크림",9579
"룰루",9573
"유난희",9516
"핑거루트",9497
"하기스기저귀",9486
"돌잡이풀패키지",9483
"유난희쇼",9480
"참존",9478
"데상트",9470
"여성골프웨어",9469
"쿠첸압력밥솥",9466
"일본여행",9439
"여성가죽자켓",9387
"갤럭시",9373
"발뮤다",9370
"카시트",9366
20,9296
"맥",9294
"염색약",9289
"가디건",9272
"티비",9271
"투톤립바",9228
"섀도우",9204
"스팽스",9172
"아사이베리",9165
"º",9163
"바디쉐이퍼",9162
"홍이장군",9158
"동국제약마데카크림",9150
"케즈",9136
"스템셀",9113
"유아매트",9113
"트렌치코트",9113
"로얄베일",9105
"구두",9047
"헤라미스트쿠션",9024
"스피킹맥스",9016
"베개",9014
"갈치",9006
"14k쥬얼리세트",8997
"다이슨청소기",8988
"안마의자",8947
b6,8923
"달팽이크림",8909
"아메리칸투어리스트",8884
http,8863
"라텍스",8843
"조성아",8841
"헤라",8811
"산지애사과",8802
"까스따네뜨",8801
"브레라신발",8790
"여성운동화",8776
"정쇼",8760
"샘소나이트",8747
"숀리엑스바이크",8683
"옷걸이",8677
"케리어",8645
lite,8638
"조이너스",8590
"홍삼정",8572
"젤네일세트",8566
"키높이스니커즈",8542
"라쉬반",8528
"운동복",8527
"지갑",8523
"트라이엄프",8514
"컴퓨터",8484
"라네즈투톤립바",8451
"엘렌실라",8442
"네오플램",8384
"아메리칸투어리스터캐리어",8343
"속옷세트",8274
"침구청소기",8269
"오즈페토",8260
"스타킹",8242
"뱅뱅청바지",8239
"숀리",8239
"오제끄",8238
"제습기",8238
attend160328,8234
"온수매트",8224
"책상",8205
"리클라이너쇼파",8199
"꼬달리세럼",8188
"쿠론",8183
"한스킨",8175
"낫또",8156
"여성니트",8141
"동남아여행",8134
"케이스위스",8133
"메르비",8131
"에어포스",8119
"ㄱ",8115
"차홍",8070
"셀더마마스크팩",8042
"키높이슬립온",8035
"시슬리가방",8034
"오쇼핑",8030
"플루스크럽",7983
"아이오페기초세트",7956
"투톤",7952
"삼성액티브워시세탁기",7943
"피델리아",7929
"공기정화식물",7924
"견미리쿠션팩트",7905
"고구마",7905
"스타우브",7905
"시제이",7902
"맨투맨",7901
"운동기구",7887
"에어비타",7875
"키즈",7864
"비타민",7855
"선크림",7852
"남자",7788
"빛크림",7788
"슬랙스",7746
"해피콜양면팬",7717
"꿈비매트",7709
"ㅂ",7707
"닥터브로너스",7690
"치마레깅스",7681
"면도기",7669
"브라우스",7665
shoppongday,7629
"바비리스",7626
"세제",7622
"원더레그",7622
"에트로가방",7593
"오브엠",7581
"blog.hsmoa.com",7578
"여행가방세트",7571
"항공점퍼",7567
"진공냄비세트",7561
"여성샌들",7524
"쿠쿠정수기",7520
"자전거",7489
"시계",7482
"마스카라",7478
"블랙야크",7478
"여성크로스백",7475
"코렐10인",7456
"스타일러",7453
"셔츠",7451
"퀸침대",7436
"아임홈쇼핑",7426
"컬러래스팅",7420
"한샘키친",7414
"마데카",7399
"도마",7374
"남자속옷",7361
"여성시계",7329
"크록스",7294
"아메리칸어패럴",7287
"압력밥솥",7283
"마스크",7265
"까레라진",7231
"전집",7216
"젤네일",7205
nasv,7191
"가누다",7177
"세제혁명",7169
"바이알러",7162
"에어매트리스",7137
"똔따렐리",7136
"여행상품",7100
"나트라케어",7078
"그리핑크스",7071
m10,7069
"대저토마토",7064
d,7050
"고등어",7047
"서유럽여행",7035
"베스트",7021
"남성의류",7011
"노스페이스",6992
"참존화장품",6991
"냉장고정리용기",6987
"보험",6971
"샘소나이트캐리어",6951
"그램",6947
"세타필",6940
"쇼퍼백",6926
"쿠첸",6905
"스케쳐스",6904
"블라인드",6879
"여성단화",6873
"정윤정쇼",6864
"크림",6838
"아이오페에어쿠션rx",6798
"가죽자켓",6781
"미싱",6762
"봄자켓",6757
"닥터포헤어",6754
"엘지노트북",6752
"블루스카이",6751
"우엉차",6727
"18k목걸이",6721
"시세이도",6709
"아이스크림홈런",6708
"디오스냉장고",6704
"여성원피스",6693
"토리버치",6693
aa,6692
"â",6684
"푸마속옷",6678
"모르간",6667
"리안",6661
"골프",6657
"전복",6655
"김무열굿잠베개",6643
"덴비헤리티지",6636
"아디다스속옷",6608
t,6583
"웨건",6565
8e,6557
"네셔널지오그래픽",6552
"정장",6551
"리복",6549
"센텔리안24",6531
9f,6520
"테팔후라이팬",6517
"바디프랜드",6515
"폴리젠샴푸",6508
"갤럭시노트5",6483
"프뢰벨",6480
"라이크라",6477
"남성화장품",6462
"스테이크",6458
"고구마말랭이",6457
"메쎄",6447
"프롬에스티",6440
"프뢰벨영아다중",6435
"금강제화",6421
"네일",6416
"다리미",6405
"하유미팩",6398
"휠라속옷",6357
"삼성청소기",6354
"식스패드",6336
"오덴세",6316
"토퍼세트",6298
"풋사과다이어트",6262
"점퍼",6251
"홈쇼핑",6248
"기초화장품",6243
"ahc아이크림",6241
"코치가방",6230
"약콩두유",6212
"오쿠중탕기",6212
"여성반팔티",6210
18k,6203
"호비",6186
"황성주두유",6184
"여성셔츠",6172
"휘슬러",6161
"봄",6159
"드롱기",6148
skt,6140
"트레킹화",6140
25ec,6137
"å",6130
"범퍼침대특대형",6114
"ahc마스크팩",6094
"책장",6070
"정수기렌탈",6067
"갤럭시탭s2",6059
"바로tv",6057
"클렌징",6053
"암막커텐",6051
"속눈썹",6047
"드럼세탁기",6034
"샤롯데",6023
"세컨스킨",6020
"종가집김치",6017
"시슬리",6016
"아이나비블랙박스",6016
"콜핑",5987
"여성점퍼",5969
"플랫슈즈",5963
bb,5954
"놀이매트",5951
"아너스무선물걸레청소기",5949
"안나수이",5943
"캐리어세트",5941
"남자팬티",5938
"여성등산복",5933
"숄더백",5906
"손정완",5904
"란쥬쉐이퍼",5891
"금성침대",5881
"야상점퍼",5880
"프로스펙스운동화",5870
"동국제약",5869
"모링가",5843
"전동드릴",5842
"안마기",5831
"견미리파운데이션",5830
"아웃도어",5825
"신영와코루",5823
"쌀",5823
"실리쿡",5807
"티",5807
"홍진경더김치",5794
"코타키나발루",5792
"ㅎ",5776
"5단서랍장",5774
"남자청바지",5773
"3m막대걸레",5761
"여성가디건",5756
"반팔티",5753
"누페이스",5751
"반트365",5747
"남성신발",5734
"프로스펙스",5716
"물걸레",5705
"란제리",5699
"식기세트",5685
"오트리",5685
"웨지힐",5673
ts,5657
"퍼스트씨",5656
"돌잡이",5650
a,5645
"전기밥솥",5645
"황성주생식",5635
"ã",5628
"구기자",5625
"에트로",5604
"엑슬림",5600
"로즈몽",5580
"자동물걸레",5574
"스포츠브라",5562
"프라다",5562
"글라스락세트",5560
"플레이텍스",5559
"등산복세트",5554
"김치냉장고스탠드",5550
"피토메르",5547
"여성핸드백",5536
"송지오",5534
"아임쇼핑",5529
"골프바지",5525
"3인용쇼파",5522
"필립스",5520
"반지갑",5507
"토마토",5492
"팬티",5482
"여성항공점퍼",5472
"향수",5464
"세척사과",5458
"압박스타킹",5455
"런닝화",5450
"트롬스타일러",5450
"네파",5449
"알집",5448
"싱글침대",5446
"보조배터리",5439
"홈엔쇼핑",5437
"폼클렌징",5429
"조성아22바운스업팩트",5419
"여성슈즈",5404
14k,5403
"네오",5401
"리제떼",5400
"랑콤",5399
"ㅁ",5386
"블루에어",5378
"남성트레이닝복",5368
"삼성노트북5",5365
"아",5365
"실크테라피헤어에센스",5364
"휠라",5361
"가구",5352
"휴롬셀럽",5352
"요거베리",5349
"키높이",5344
"프라다가방",5342
"핏플랍",5331
"스카프",5329
"테니스",5322
"요거트메이커",5312
"커피머신",5297
"맥앤로건",5295
"정관장화애락큐",5285
"뉴발란스",5277
"lg트롬스타일러",5276
"샤오미보조배터리",5274
"무코타",5272
"일본",5270
"ó",5263
"14k목걸이",5251
"에이스침대",5251
"꼼데가르송",5250
"만두",5246
"여성팬티",5245
"닭가슴살",5236
"인기",5236
"에센스",5234
"제이에스티나",5223
"크림하우스매트1",5218
"의자",5215
"닭발",5210
"로봇청소기",5205
"애플비85종",5205
"토리버치가방",5203
"ㅋ",5193
"여성바람막이",5185
"갤럭시탭",5184
"트렉수트",5179
"3종",5175
"핫도그",5166
"컴포트화",5145
25eb,5140
"에스쁘아",5135
"츄리닝",5125
"팔찌",5117
"깨끗한나라",5114
"여성언더웨어",5106
"세부",5101
"짐보리",5098
"오메기떡",5091
"망고",5089
"베이비젠요요",5089
"탈모샴푸",5082
"lg노트북",5073
"페도라유모차",5071
"ç",5049
"실리쿡납작이",5043
"디지털피아노",5039
"팸퍼스",5038
"진공청소기",5036
"여성아웃도어",5032
"아일랜드식탁",5031
"저안트레이",5030
"lg세탁기",5021
"반지",5013
"싱크대",5009
"이연복칠리새우",5009
"닉스",4997
"잉글레시나",4991
"블랙마틴싯봉",4982
"옷장",4980
"코나드",4961
"페도라",4953
"서피스프로",4935
"더페이스샵카카오",4932
"에스티로더",4927
"해피콜믹서기",4923
"여성정장",4922
"나무하나",4910
"욕실",4908
"케리어가방",4903
"생방송",4883
"닥터코스",4876
"신데렐라마스카라",4871
"뱅뱅바지",4868
"승마운동기구",4864
"닉스청바지",4853
"닌자블랜더",4844
"장농",4841
"모자",4829
"슬라이딩붙박이장",4828
"프로바이오틱스",4827
"필립스에어프라이어",4810
"가습기",4806
"오메가3",4806
"족욕기",4803
"르까프",4801
"ㅈ",4799
"양가죽자켓",4798
"침대커버",4797
pic,4793
"워킹화",4790
"볶은아마씨",4785
"밀폐용기",4782
"비비엔다범퍼침대",4780
"아너스물걸레",4774
"귀걸이",4768
"까사마루행거",4764
"단화",4763
"르쿠르제",4759
"언더웨어",4754
"마몽드기초세트",4746
"킥보드",4743
"핑크퐁",4739
"루테인",4729
"요가복",4729
"리클라이너",4726
"ㄷ",4722
"반팔",4721
"한샘싱크대",4716
"아식스운동화",4697
"벤시몽",4691
"전기압력밥솥",4690
"물티슈",4682
"전자렌지",4669
"라코스테",4668
"여성지갑",4668
"바디피트",4661
"싹쓸이만능청소기",4657
"세노비스",4651
"디스커버리",4647
"프라이팬",4646
"샤넬",4643
"아디다스반바지",4635
"공기청정기렌탈",4619
"떡",4610
"ì",4607
"노트5",4604
"인덕션",4595
"탱글티저",4587
"스탠스미스",4576
"스피드랙",4560
"하지원젤리팩",4551
"쿠쿠6인용",4542
"남성아웃도어",4530
"ㄴ",4526
"로즈버드비비안",4515
"후라이팬세트",4508
"빅사이즈",4507
"카메라",4500
"에코라믹",4499
"차홍헤어팩",4497
"î",4482
"하우동천",4481
"lg냉장고",4469
"데싱디바",4459
"헤어에센스",4446
"안나수이선글라스",4431
"패밀리침대",4410
"돈까스",4409
100d,4400
"오키나와",4400
"탕수육",4388
"스커트",4382
"일렉트로룩스무선청소기",4374
"버버리",4368
"자몽",4364
"18k팔찌",4344
"박홍근",4339
"아사이베리파우더",4326
"루이비통",4315
"스팀청소기",4310
"씽크대",4310
"암보험",4304
"스킨로션",4303
"여자바지",4299
"1단계",4292
"아가타",4292
"오모떼",4290
"쥬얼리",4267
"푸마여성속옷",4266
"사이오스",4265
"아식스",4263
"란쥬",4260
"남자바지",4254
"더바디샵",4253
"코치",4248
"삼성tv",4244
"키플링",4243
"순수염색약",4242
"à",4237
"스팀큐",4233
"디키즈",4223
"삼성액티브워시",4219
"여자속옷세트",4217
